분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,,,,,,○,,900x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 900x2400mm",,ALA12010400A,E333,
,,,,,,,,○,,1000x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 1000x1800mm",,ALA12010500A,E333,
,,,,,,,,○,,1000x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 1000x1900mm",,ALA12010600A,E333,
,,,,,,,,○,,1000x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 1000x2000mm",,ALA12010700A,E333,
,,,,,,,,○,,1000x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 1000x2100mm",,ALA12010800A,E333,
,,,,,,,,○,,1000x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 1000x2400mm",,ALA12010900A,E333,
,,,,,,,,○,,1100x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 1100x1800mm",,ALA12012000A,E333,
,,,,,,,,○,,1100x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 1100x1900mm",,ALA12011200A,E333,
,,,,,,,,○,,1100x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 1100x2000mm",,ALA12011500A,E333,
,,,,,,,,○,,1100x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 1100x2100mm",,ALA12011300A,E333,
,,,,,,,,○,,1100x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 1100x2400mm",,ALA12011400A,E333,
,,,,,,,,○,유,유리포함 900x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 900x1800mm",,ALA12010000B,E333,
,,,,,,,,○,유,유리포함 900x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 900x1900mm",,ALA12010100B,E333,
,,,,,,,,○,유,유리포함 900x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 900x2000mm",,ALA12010200B,E333,
,,,,,,,,○,유,유리포함 900x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 900x2100mm",,ALA12010300B,E333,
,,,,,,,,○,유,유리포함 900x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 900x2400mm",,ALA12010400B,E333,
,,,,,,,,○,유,유리포함 1000x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1000x1800mm",,ALA12010500B,E333,
