PredefinedType,Category,Family,StructuralUsage,StructuralMaterial,Width,Height,Length,Volume,CrossSectionArea,IsExternal,LoadBearing,PartCode
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500,Other,KBIMS-콘크리트,400,500,13000.0,1.73600001629006,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG12_600 x 500,Girder,KBIMS-콘크리트,600,500,12100.0,2.56750006756838,0.3,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500,Girder,KBIMS-콘크리트,500,500,9300.0,1.45250000000007,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG5_500 x 500,Girder,KBIMS-콘크리트,500,500,9100.0,1.45250004678992,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500,Other,KBIMS-콘크리트,400,500,10200.0,1.3579975548004,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500,Other,KBIMS-콘크리트,400,500,10200.0,1.3579975548004,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500,Other,KBIMS-콘크리트,400,500,10100.0,0.651000568840313,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500,Girder,KBIMS-콘크리트,400,500,12000.0,1.61000002985003,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500,Girder,KBIMS-콘크리트,500,500,8200.0,1.34972941964656,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500,Girder,KBIMS-콘크리트,400,500,12000.0,1.61000002985003,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500,Other,KBIMS-콘크리트,400,500,13050.0,1.75701493986779,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500,Girder,KBIMS-콘크리트,400,500,11800.0,1.55400005906545,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500,Other,KBIMS-콘크리트,400,500,13050.0,1.75701493728589,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500,Girder,KBIMS-콘크리트,400,500,12050.0,1.61699999262383,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500,Girder,KBIMS-콘크리트,500,500,6900.0,1.19624419084324,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500,Girder,KBIMS-콘크리트,400,500,12050.0,1.61699999262383,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500,Girder,KBIMS-콘크리트,500,500,7100.0,1.13749393037105,0.25,0,True,E23
