ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcDoor                , 문                    , "DR422-회전문(전동식, 스테인리스 스틸)"     , E333        , ALA522A                                                          , "DR422-회전문(전동식, 스테인리스 스틸)"                                                                                             , "DR422-회전문(전동식, 스테인리스 스틸) 3000x2400mm"                                                                                 , 7445557
IfcIfcSlab                , 바닥                  , 바닥                                        , E93100      , AD                                                               , 바닥                                                                                                                                , 도로(일반)                                                                                                                          , 8014150
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G11_500 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G11_500 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G11_500 x 400
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF123-유아용 서양식 변기                    , E71210      , MHA122112000                                                     , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB2_400 x 500
IfcIfcDoor                , 문                    , DR872-샤프트 점검구(스테인리스 스틸)        , E331        , AJG3                                                             , DR872-샤프트 점검구(스테인리스 스틸)                                                                                                , DR872-샤프트 점검구(스테인리스 스틸)_650x1600                                                                                       , 3648337
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10WG1                                                                                        , 7669424
